# RBF points - right hand - z5 - yaw
# x y z yaw
0.133 -0.395 0.07 -0.562
0.208 -0.437 0.07 -0.661
0.272 -0.447 0.07 -0.761
0.338 -0.411 0.07 -0.694
0.388 -0.358 0.07 -0.562
0.42 -0.289 0.07 -0.298
0.458 -0.216 0.07 -0.165
0.483 -0.142 0.07 -0.033
0.496 -0.074 0.07 0.099
0.48 -0.005 0.07 0.265
0.464 0.068 0.07 0.397
0.433 0.142 0.07 0.562
0.392 0.2 0.07 0.728
0.344 0.247 0.07 0.893
0.291 0.279 0.07 1.058
0.227 0.305 0.07 1.224
0.164 0.321 0.07 1.389
0.152 0.258 0.07 1.389
0.139 0.184 0.07 1.389
0.123 0.1 0.07 1.389
0.104 0.005 0.07 1.819
0.111 -0.084 0.07 1.257
0.085 -0.163 0.07 0.364
0.069 -0.253 0.07 -0.066
0.085 -0.326 0.07 -0.298
0.158 -0.289 0.07 -0.165
0.177 -0.189 0.07 0.331
0.193 -0.089 0.07 0.860
0.202 0.016 0.07 1.356
0.218 0.116 0.07 1.521
0.234 0.205 0.07 1.29
0.313 0.158 0.07 1.157
0.3 0.053 0.07 1.124
0.278 -0.053 0.07 0.860
0.268 -0.153 0.07 0.496
0.24 -0.242 0.07 0.165
0.227 -0.342 0.07 -0.265
0.313 -0.316 0.07 -0.198
0.344 -0.216 0.07 0.165
0.366 -0.121 0.07 0.430
0.376 -0.026 0.07 0.694
0.385 0.079 0.07 0.893
0.407 -0.179 0.07 0.165
0.426 -0.089 0.07 0.364
0.426 0.005 0.07 0.595
0.272 -0.384 0.07 -0.430
0.369 -0.274 0.07 -0.099
